title,company,location,link
MongoDB Engineer 모집,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=2695294aea6dc3b6
[전문연구요원] AI R&D - Langauge AI,"
엔씨소프트",성남 판교역,https://kr.indeed.com/viewjob?jk=bf1fca00c4f999e3
엔미디어플랫폼 데이터베이스 관리자 (DBA) 인재 안내,"
리더스소프트",성남 분당구,https://kr.indeed.com/viewjob?jk=d0ca27a97ddf91f9
빅데이터 플랫폼 데이터 엔지니어 모집,"
엔씨소프트",성남 판교역,https://kr.indeed.com/viewjob?jk=d25306c52169697f
Developer (개발자),"
Coinplug",경기도 성남,https://kr.indeed.com/viewjob?jk=b7be58e7af38d186
[타다]데이터 분석가/사이언티스트,"
쏘카",대한민국,https://kr.indeed.com/viewjob?jk=3330430ae94277db
신규서비스 프로덕션 - Python django 웹 개발자,"
후씨",서울 서초구,https://kr.indeed.com/viewjob?jk=ed956a819995ea40
2021년 수시 R&D 머신러닝(응용소프트웨어 개발) (1월31일 마감),"
에스에프에이",경기도 화성,https://kr.indeed.com/viewjob?jk=19165cafa2870f93
SW Engineer for R&D Extension Korea,"
Applied Materials Inc.",경기도 화성,https://kr.indeed.com/viewjob?jk=fb3395b4ba6b4f61
챗봇 플랫폼 개발자 모집,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=20d40ee61adffeca
FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),"
딥엑스",성남 분당구,https://kr.indeed.com/viewjob?jk=e5448ffc7d6ecf02
AR&AI 엔지니어 (신입/경력),"
플레이스에이",성남 분당구,https://kr.indeed.com/viewjob?jk=9da3ebb4340f784a
데스크탑 가상화(VDI) 엔지니어 모집,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=530a598184580c95
"AI/Data Scientist, 데이터분석 모델링 전문인력 (차장급-대리급, 5-6명), TOP 게임회","
코어포인트",성남 분당구,https://kr.indeed.com/viewjob?jk=3e5e543413aac231
